Mars_Data,title,preview
0,NASA's Curiosity Rover Finds an Ancient Oasis on Mars,"New evidence suggests salty, shallow ponds once dotted a Martian crater — a sign of the planet's drying climate."
1,Robotic Toolkit Added to NASA's Mars 2020 Rover,"The bit carousel, which lies at the heart of the rover's Sample Caching System, is now aboard NASA's newest rover. "
2,NASA InSight's 'Mole' Is Out of Sight,"Now that the heat probe is just below the Martian surface, InSight's arm will scoop some additional soil on top to help it keep digging so it can take Mars' temperature."
3,Deadline Closing for Names to Fly on NASA's Next Mars Rover,You have until Sept. 30 to send your names to Mars aboard the Mars 2020 rover. 
4,NASA's Perseverance Mars Rover Gets Its Wheels and Air Brakes,"After the rover was shipped from JPL to Kennedy Space Center, the team is getting closer to finalizing the spacecraft for launch later this summer."
5,NASA Updates Mars 2020 Mission Environmental Review,NASA and the Department of Energy have completed a more detailed risk analysis for the Mars 2020 rover launch from Florida.
6,Mars 2020 Stands on Its Own Six Wheels,"In time-lapse video, taken at JPL, captures the first time NASA's Mars 2020 rover carries its full weight on its legs and wheels."
7,Mars 2020 Unwrapped and Ready for More Testing,"In time-lapse video, bunny-suited engineers remove the inner layer of protective foil on NASA's Mars 2020 rover after it was relocated for testing."
8,NASA's Perseverance Rover Mission Getting in Shape for Launch,Stacking spacecraft components on top of each other is one of the final assembly steps before a mission launches to the Red Planet. 
9,NASA's Perseverance Rover Will Carry First Spacesuit Materials to Mars,"In a Q&A, spacesuit designer Amy Ross explains how five samples, including a piece of helmet visor, will be tested aboard the rover, which is targeting a July 30 launch. "
10,NASA's Mars 2020 Rover Closer to Getting Its Name,"155 students from across the U.S. have been chosen as semifinalists in NASA's essay contest to name the Mars 2020 rover, and see it launch from Cape Canaveral this July."
11,NASA-JPL Names 'Rolling Stones Rock' on Mars,NASA's Mars InSight mission honored one of the biggest bands of all time at Pasadena concert.
12,NASA's Perseverance Rover Bringing 3D-Printed Metal Parts to Mars,"For hobbyists and makers, 3D printing expands creative possibilities; for specialized engineers, it's also key to next-generation spacecraft design."
13,NASA's Treasure Map for Water Ice on Mars,"A new study identifies frozen water just below the Martian surface, where astronauts could easily dig it up."
14,NASA's Curiosity Takes Selfie With 'Mary Anning' on the Red Planet,The Mars rover has drilled three samples of rock in this clay-enriched region since arriving in July.
